咳嗽 {白天咳嗽}或见{夜里偶咳},[尚能坚持]
咯痰 昼夜[100ml]
喘息 {喘息}日夜可见,[尚能坚持工作]
哮鸣 [散在]
发热 [38-39℃]
鼻塞 [日间常有]{鼻塞不通}
流涕 早晚均流涕[量不多]
纳呆 {不欲食},[尚能进食],{食欲稍减}
腹胀 [时有]{腹胀}
口干咽燥 [时有]{口干咽燥}
痰中血丝 [时有]{痰中血丝}
胸痛 {胸痛}[明显][可忍受]
口渴 {口渴}[需饮水]
自汗 {自汗}振作,[身感有汗]
易感冒 [常有]{感冒},但[能自愈]
气短 气短[活动加剧]
恶寒 恶寒[需加衣]
发热 体温[38℃~38.5℃]
鼻塞 {鼻塞}[时有时无]
肢体酸痛 {肢体酸痛}
咽痛 {咽痛}
流涕 [时流]{清涕}
汗出 {汗出}
头痛 {头痛}[较重],[持续]不止
咳嗽 [时有]
口渴 {口渴}
气短 稍事活动{气短}
体位 {喜坐}
讲话方式 {常有中断}
精神状态 [时有]{焦虑或煩躁}
出汗 [有]
呼吸 {呼吸[频率增加]}
辅助呼吸肌活动 [可有]
哮鸣音 {哮鸣音}[响亮、弥漫]
脉率 [100~120次/分钟]
奇脉 {奇脉} [可有],[10~25mmHg]
喘息 感觉[较频繁],[但不影响睡眠],{动则喘息明显}
咳嗽 [频繁]{咳嗽},但[不影响睡眠]
咯痰 有痰,昼夜咯痰51~100ml,
胸膈满闷 感觉[较频繁],但[不影响睡眠]
哮鸣音 [散在]
胸闷 {胸闷}[明显],[有时]{叹息样呼吸}
气短 稍[活动后]{气短}
畏寒肢冷 {四肢发冷},[需加衣被]
膝酸软腰 {腰膝酸软}[较重],[对工作略有影响]
自汗 平素[皮肤潮湿],[稍动则汗出]
不寐 睡眠[不足4小时],但尚能坚持工作
眩晕 {视物旋转},[不能行走]
急躁 {心烦急躁,遇事易怒}
腰酸 [持续]諉酸,[劳作加重]
滕软膝软 {不任重物}
五心烦热 {心烦手足心灼热}
{头如裹头重似藏布}
胸闷 {胸闷}[明显],[时见]{太息}
呕吐 {痰涎干呕时吐痰滋如唾}
畏寒肢冷 {畏寒肢冷}[明显]
面赤 {面赤}[明显]
目赤 {目赤}[明显]
口干 {口干少津}
口苦 {口苦}[食不知味]
便秘 {大便秘结},[两日一行]
溲赤 {小便黄而少}
心悸 {心悸}[阵作]
失眠 [时见]{失眠}
耳鸣 {耳鸣重听},[时作时止]
健忘 [时见]{忘事,不易想起}
口淡 {口淡}[较重]
食少 {饮食减少}
气短 {未活动亦气短}
夜尿 夜尿[2~3次]
滕软 {膝软不任重物}
五心烦热 {心烦手足心[灼热]}
{头如裹头重似蒙布}
胸闷 {胸闷}[明显]，[时见]{太息}
呕吐 {痰涎干呕时吐痰涎如唾}
面赤 {面赤}[明显]
口十 {口干少津}
心悸 {心悸}[阵作]
耳鸣 {耳鸣重听},[时作时止]
口淡 {口淡}[较重]
