咳嗽 {夜频咳或阵发},[影响工作和休息]
咯痰 {昼夜咯痰}[100ml以上]
喘息 {喘息不能平卧},[影响睡眠及活动]
哮鸣 [满布]
发热 [39℃及以上]
鼻塞 {鼻塞}[明显,需用口呼吸]
流涕 {流清浊涕},[持续量多]
纳呆 {无食欲,食量减少}[1/3以上]
腹胀 [持续]{腹胀}
口干咽燥 [持续]{冂干咽燥}
痰中血丝 [持续]{痰中血丝}
胸痛 {胸痛}[显著,影响呼吸、咳嗽]
口渴 {口渴频饮水}
自汗 [常有]{自汗,湿衣,动则明显}
易感冒 [易感冒而迁延不愈]
气短 [明显]{气短},[影响工作生活]
恶寒 {恶寒}[需增加厚衣或加盖被褥]
发热 [体温38.6℃以上]
鼻塞 {鼻塞}[持续不解]
肢体酸痛 {肢体酸},[屈伸不利]
咽痛 {咽喉}[疼痛甚]
流涕 [持续]{流涕}
汗出 {汗出}[多]
头痛 {头痛重},[不能坚持工作]
咳嗽 [频繁]
口渴 {口渴}[明显]
气短 {气短}休息
体位 {端坐呼吸}
讲话方式 {单字}
精神状态 {常有焦遨、烦躁}
出汗 {大汗淋漓}
呼吸频率常 [>30次/分钟]
辅助呼吸肌 {活动常有}
哮鸣音 [减弱、乃至无]
脉率 [>120次/分钟或脉率变慢或不规则]
奇脉 [常有>25mnHg]
喘息 {静坐感觉明显},[不能平卧,影响瞑或活动]
咳嗽 {昼夜咳嗽频繁或阵咳},[影响休息和睡眠]
咯痰 [量多,昼夜咯痰100ml以上]
胸膈 {满闷慼觉明显},[不能平卧,影响睡眠或活动]
哮鸣 {音满布}
胸闷 {胸闷如窒,叹息}
气短 {平素不活动亦感时有发生},[持续时间较长,不适经常发生]
畏寒 {肢冷全身发冷},增加全缓解愿
膝酸 {软腰滕酸软重}，[影响工作生活，难以坚持]
自汗 {平素即汗出}
不寐 {彻夜不眠},[难以坚持工作]
眩晕 {眩晕欲仆},[不能站立]
急躁 [易怒烦躁易怒,不能自止]
腰酸 [腰酸如折,休息不止]
滕软 {膝软不欲行走}
五心 {烦热烦热不欲衣被}
头重如裹 [头重如戴帽而紧]
胸闷 [胸闷如窒]
呕吐 {痰涎呕吐}[痰涎量多]
畏寒 {肢冷畏寒肢冷},[欲加衣被]
赤面 {赤面赤如妆}
目赤 {目赤如鸠眼}
口干 {口干时饮水}
口苦 {口苦而涩}
便秘 {大便艰难},[数日一行]
溲赤 {小便黄赤不利}
