咳嗽 白天[间断]{咳},[不影响工作生活]
咯痰 夜{咳痰}[10~50ml]
喘息 [偶发,不影响睡眠或活动]
哮鸣 [偶闻或见于咳暾、深呼吸时]
发热 [37.5--38℃]
鼻塞 [偶]{鼻塞},[不影响用鼻呼吸]
流涕 [偶]{流清涕}
纳呆 [食欲减退,食量未少]
腹胀 [偶]{腹胀}
口干咽燥 [偶有]{口干咽燥}
痰中血丝 [偶有]{痰带血丝}
胸痛 {胸痛}[轻微]
口渴 {口渴}[不需饮水]
自汗 [偶有]{自汗},[见于进食时]
易感冒 [偶有]
气短 {感气短}
恶寒 {恶寒}[不需加衣]
发热 [体温37.1℃~37.9℃]
鼻塞 {有堵塞感,声重}
肢体酸痛 [轻微]{肢体酸痛}
咽痛 {咽干、[微]痛}
流涕 [偶有]{流涕}
汗出 [微]{汗出}
头痛 [轻微]{头痛},[时作时止]
咳嗽 [偶有]
口渴 {口[微]渴}
气短 [步行、上楼时]
体位可平卧
讲话方式连续成句
精神状态[可有]{焦虑},[尚安静]
出汗 无
呼吸频率 [轻度]{增加}
辅助呼吸肌活动 常无
{哮鸣音}[散在,呼吸末期]
脉率<100次/分钟
奇脉无,<10mmg
喘息 [偶有发作,程度轻,不影响休息或活动]
咳嗽 白天[间断]{咳嗽},[程度轻微]
咯痰 [少量],昼夜{略痰}[10~15ml,]
胸膈满闷 [偶有发作,程度轻,不影响休息或活动]
哮鸣音 [偶闻,或在咳嗽、深快呼吸后出现]
胸闷 [轻微]{胸闷}
气短 [一般活动后]{气短}
畏寒肢冷 {四肢末梢[轻微]发冷}
膝酸软 {腰膝酸软}[轻微,不影响工作生活]
自汗 平素{皮肤[微]潮},[稍动则更甚]
不寐 {睡眠时常觉醒或睡而不稳,晨醒过早},[但不影响工作]
眩晕 {头晕眼花},[时作时止]
急躁易怒 {心烦[偶]躁}
腰酸 展起{腰酸},[捶打可止]
滕软 [微觉]{膝软乏力}
五心烦热 晚间{手足心热}
头如裹 [微觉]{头沉}
胸闷 [轻微]{胸闷}
呕吐痰涎 {恶心}[偶见]{涎清稀}
畏寒肢冷 [微]{畏寒}
面赤 {面徵红赤}
目赤 [轻微]{目赤}
口干 {口[微]干}
口苦 晨起{口苦}
便秘 {大便干},[每日一行] 
溲赤 {小便[稍]黄}
心悸 [偶见轻微]{心悸}
失眠 {睡眠[稍有]减少}
耳鸣 {耳鸣}[轻微]
健忘 [偶见]{忘事},[尚可记起]
口淡 {口中[轻微]无味}
食少 {饮食[稍有]减少}
气短 活动后{气短}
夜尿频 {夜尿}[1次]
滕软 [微觉]{膝软无力}
五心烦热 晚何{手足心微热}
头如裹 [微觉]{头沉}
胸闷 [轻微]{朐部憋闷}
呕吐痰涎 {恶心}[偶见]{痰涏清稀}
面赤 {面微红赤}
口干 {口[微]干}
心悸 [偶见][轻微]{心悸}
耳鸣 {耳鸣}[轻微]
口淡 {口淡无味}
食少 {饮食[稍有]减少}
气短 活动后{气短}
面色苍白 活动后出现{苍白}
神疲乏力 [偶有]{神疲乏力}
自汗 活动后{汗出},[稍多]
面部红斑 [散在]{红斑或呈丘疹样},[色淡红]
发热 [体温37.5~37:9℃]
口疮 [少量]{口疮},[无痛]
双手红斑 有[散在]{红斑}
关节疼痛 {关节[隐]痛}
关节肿胀 {肿胀}[未超过关节附近骨性标志]
肌肉疼痛 {肌肉酸痛},[可耐受]
脱发 [少量]{脱发},[梳头时明显]
浮肿 眼睑部{浮肿}
胸痛 [间歇]{胸痛}
心悸 活动时感{心悸}
皮肤溃烂 [散在]{溃烂}，[面积小]
乏力 活动时即感{乏力}
烦躁 {心烦}[时起]
手足心热 [偶有]{手足心热}
口干 {口干}[可不饮水]
失眠 [偶有]{失眠}
耳鸣 [偶有]{耳鸣}
气短 [偶有]{气短}
畏寒肢冷 [微有]{畏寒}
关节痛疼 {疼痛}[轻,尚能忍受、或仅劳累或天溃烂面增多,伴疼痛]
关节肿胀 {关节[轻度]肿、皮肤纹理变浅},[关节的骨标志仍明显]
发热 [体温37.5~37.9℃]
关节压 [轻度]{压痛}、[患者称有痛]
屈伸不利 {关节活动[轻度]受限},[关节活动范围减少<1/3]
关节发热 仅{关节触之热、患者无明显自觉热}
关节作冷 {关节恶风寒,触之不凉}
口渴 [偶有]{口渴}
汗出 [偶有]{汗出}[多]
畏恶风寒 [偶有]{畏恶风寒}
肢冷不温 {自觉时冷,但触之不凉}
腰膝酸软 [偶有]{腰膝酸软}
晨僵 {晨僵}[<1h]
腰骶脊背疼痛 {腰骶隐痛},[能忍受、不影响工作]
脊背疼蒲 {脊背[隐]痛}
关节肿胀 {肿胀}[未超过关节附近骨性标志]
发热 {低热}[37.5~37.9℃]
腰脊活动受限 {活动受限}[<1/3]
晨僵 {僵硬}[时间<30分钟]
关节发热 {仅关节触之热,患者无明显自觉热}
关节作冷 {仅关节恶风寒,触之不凉}乏力 活动后{乏力}
腰膝酸软 [轻微]{腰膝酸软}
刺痛 [徹微]{刺痛}
口干不欲饮 [轻微]{口于}
小便黄 {小便[稍]黄}
肢体困重 [微觉]{肢体困重}
肌肤干燥 {肌肤干燥少泽}
